source,signal_date,code,name,signal,score,tier,stars,regime,sentiment_level,position_pct,stop_loss_pct,theme,cluster,pool,signal_3d,market_panic,triggers,cautions,note,close_t,close_t1,close_t3,close_t5,close_t10,ret_1d,ret_3d,ret_5d,ret_10d,max_gain_10d,max_drawdown_10d,ret_csi300_1d,ret_csi300_3d,ret_csi300_5d,ret_csi300_10d,excess_1d,excess_3d,excess_5d,excess_10d,hit_stop_10d,review_status
stock,2026-04-23,688981,中芯国际,SELL_STOP,-4,,,,,0,5.0,半导体代工,semicon,core,★★★,,,,跌破60线; RSI超买78,106.45,110.96,114.0,118.73,121.98,0.042367,0.070925,0.115359,0.14589,0.20357,-0.017285,-0.003543,-0.005875,0.004383,0.033788,0.045911,0.0768,0.110976,0.112102,False,complete
stock,2026-04-23,688012,中微公司,REDUCE,-2,,,,,0,1.08,半导体设备,semicon,core,★★★,,,,跌破60线,315.9,323.38,362.27,376.3,388.45,0.023678,0.146787,0.1912,0.229661,0.304907,-0.02026,-0.003543,-0.005875,0.004383,0.033788,0.027222,0.152662,0.186816,0.195873,True,complete
stock,2026-04-23,603986,兆易创新,REDUCE,-2,,,,,0,5.0,存储芯片,semicon,candidate,★★☆,,,,RSI超买79,306.33,297.7,307.5,312.99,353.55,-0.028172,0.003819,0.021741,0.154147,0.199719,-0.044135,-0.003543,-0.005875,0.004383,0.033788,-0.024629,0.009694,0.017358,0.12036,False,complete
stock,2026-04-23,601899,紫金矿业,REDUCE,-2,,,,,0,1.51,铜金矿,commodity,watch,★☆☆,,,,跌破60线,34.46,34.31,32.95,33.3,34.58,-0.004353,-0.043819,-0.033662,0.003482,0.025247,-0.056587,-0.003543,-0.005875,0.004383,0.033788,-0.000809,-0.037944,-0.038046,-0.030306,True,complete
stock,2026-04-23,600031,三一重工,REDUCE,-2,,,,,0,-2.15,工程机械,machinery,watch,★★☆,,,,跌破60线,19.58,19.52,20.14,20.35,21.36,-0.003064,0.028601,0.039326,0.090909,0.14811,-0.01379,-0.003543,-0.005875,0.004383,0.033788,0.000479,0.034476,0.034943,0.057121,True,complete
stock,2026-04-23,603259,药明康德,REDUCE,-2,,,,,0,-1.36,CXO,pharma,watch,★☆☆,,,,跌破20线; 绿柱扩张,100.29,100.08,110.57,109.55,110.33,-0.002094,0.102503,0.092332,0.10011,0.141689,-0.019942,-0.003543,-0.005875,0.004383,0.033788,0.001449,0.108378,0.087949,0.066322,True,complete
stock,2026-04-23,600519,贵州茅台,REDUCE,-2,,,,,0,-1.56,高端白酒,consumer,core,★★★,,,,跌破60线,1415.98,1458.49,1405.0,1384.79,1354.55,0.030022,-0.007754,-0.022027,-0.043383,0.030297,-0.046244,-0.003543,-0.005875,0.004383,0.033788,0.033565,-0.001879,-0.02641,-0.077171,True,complete
stock,2026-04-23,601888,中国中免,REDUCE,-2,,,,,0,-3.94,免税零售,consumer,candidate,★★☆,,,,跌破60线,66.31,65.42,64.56,65.62,61.55,-0.013422,-0.026391,-0.010406,-0.071784,0.010406,-0.077062,-0.003543,-0.005875,0.004383,0.033788,-0.009878,-0.020516,-0.014789,-0.105572,True,complete
stock,2026-04-23,688041,海光信息,REDUCE,-2,,,,,0,5.0,国产CPU/GPU,semicon,core,★★★,,,,RSI超买85,263.76,285.0,289.0,296.25,349.19,0.080528,0.095693,0.12318,0.323893,0.360328,0.027677,-0.003543,-0.005875,0.004383,0.033788,0.084071,0.101568,0.118797,0.290105,False,complete
stock,2026-04-23,600183,生益科技,REDUCE,-2,,,,,0,5.0,PCB基板/覆铜板,pcb,core,★★★,,,,RSI超买96,75.05,72.63,76.62,76.51,85.62,-0.032245,0.020919,0.019454,0.140839,0.1503,-0.046636,-0.003543,-0.005875,0.004383,0.033788,-0.028702,0.026794,0.01507,0.107052,False,complete
